Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Male,Female,Unknown,Total
Peugeot,106,12.356,5.0,53.88,1366.29,petrol,121935.0,194705.0,12944.0,329584.0
Honda,Civic,29.943,4.0,106.22,1480.58,petrol,179729.0,116222.0,15205.0,311156.0
Peugeot,206,20.034,5.0,71.33,1631.5,petrol,115360.0,174027.0,9094.0,298481.0
Ford,Sierra,18.296,5.0,70.25,1836.5,petrol,197414.0,44606.0,6408.0,248428.0
Ford,Ka+,15.46,5.0,60.8,1196.0,petrol,68783.0,165918.0,10289.0,244990.0
Toyota,Corolla,27.239,3.0,91.61,1677.95,petrol,124731.0,76669.0,11238.0,212638.0
Citroen,Saxo,12.33,5.0,53.82,1367.27,petrol,90466.0,113467.0,6189.0,210122.0
Peugeot,205,13.115,5.0,50.88,1430.75,petrol,104785.0,92874.0,9742.0,207401.0
Renault,Laguna,34.021,6.0,99.0,1920.03,diesel,156990.0,42366.0,6915.0,206271.0
Nissan,Primera,26.513,4.0,93.59,1933.02,petrol,142409.0,38053.0,7392.0,187854.0
Peugeot,405,20.43,5.0,69.88,1773.0,petrol,136766.0,34522.0,6239.0,177527.0
Peugeot,406,28.608,5.0,92.82,2043.82,petrol,136687.0,27865.0,6117.0,170669.0
Volkswagen,Passat,46.065,6.0,125.44,1835.85,petrol,118149.0,27674.0,7533.0,153356.0
BMW,535i,93.714,8.0,225.0,2979.0,petrol,121282.0,20487.0,6512.0,148281.0
Citroen,Xsara,22.362,5.0,72.58,1743.44,petrol,95606.0,48674.0,3567.0,147847.0
Toyota,Carina,17.446,5.0,68.27,1791.23,petrol,101654.0,27651.0,6542.0,135847.0
